,numerical__Age,numerical__Fare,numerical__SibSp,numerical__Parch,categorical__Sex_female,categorical__Sex_male,categorical__Embarked_C,categorical__Embarked_Q,categorical__Embarked_S,categorical__Pclass_1,categorical__Pclass_2,categorical__Pclass_3
0,-0.5896198553348734,-0.5002397510893574,0.4313502389523841,-0.4743258521037861,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0.644847987422268,0.788946607905507,0.4313502389523841,-0.4743258521037861,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,-0.28100289464558803,-0.48664993466069395,-0.4751990812099552,-0.4743258521037861,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3,0.413385266905304,0.4228611129909654,0.4313502389523841,-0.4743258521037861,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4,0.413385266905304,-0.4841333019887193,-0.4751990812099552,-0.4743258521037861,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
5,-5.482138488753303e-16,-0.47591297302898106,-0.4751990812099552,-0.4743258521037861,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
6,1.8793158301794095,0.39794644953841574,-0.4751990812099552,-0.4743258521037861,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
7,-2.1327046587813,-0.22190017756895475,2.244448879277063,0.7658967435440545,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8,-0.20384865447326672,-0.4220570338487224,-0.4751990812099552,2.006119339191895,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9,-1.2068537767134442,-0.040787184044554156,0.4313502389523841,-0.4743258521037861,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10,-1.9783961784366575,-0.3099823210880695,0.4313502389523841,0.7658967435440545,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11,2.187932790868695,-0.11167166653646252,-0.4751990812099552,-0.4743258521037861,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
12,-0.7439283356795161,-0.4841333019887193,-0.4751990812099552,-0.4743258521037861,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
13,0.7220022275945894,-0.016542951535818605,0.4313502389523841,5.726787126135417,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
14,-1.2068537767134442,-0.4880753554061005,-0.4751990812099552,-0.4743258521037861,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
15,1.9564700703517308,-0.32407546405112786,-0.4751990812099552,-0.4743258521037861,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
16,-2.1327046587813,-0.05982903349378355,3.1509981994394023,0.7658967435440545,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
17,-5.482138488753303e-16,-0.38447464817852084,-0.4751990812099552,-0.4743258521037861,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
18,0.10476830621601865,-0.28380934129953256,0.4313502389523841,-0.4743258521037861,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
19,-5.482138488753303e-16,-0.5007430776237524,-0.4751990812099552,-0.4743258521037861,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20,0.413385266905304,-0.12274485029315124,-0.4751990812099552,-0.4743258521037861,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
21,0.33623102673298266,-0.38447464817852084,-0.4751990812099552,-0.4743258521037861,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
22,-1.1296995365411229,-0.48455206966533587,-0.4751990812099552,-0.4743258521037861,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
23,-0.12669441430094538,0.06851923277692655,-0.4751990812099552,-0.4743258521037861,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
24,-1.6697792177473723,-0.22190017756895475,2.244448879277063,0.7658967435440545,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
25,0.644847987422268,-0.014277982131041355,0.4313502389523841,5.726787126135417,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
26,-5.482138488753303e-16,-0.5007430776237524,-0.4751990812099552,-0.4743258521037861,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
27,-0.8210825758518374,4.648790695770894,2.244448879277063,2.006119339191895,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
28,-5.482138488753303e-16,-0.4875720288717055,-0.4751990812099552,-0.4743258521037861,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
